epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,510.982,0.97812,1.50884,1.3773,0.75042,0.65907,0.7289,0.59563,0.73386,1.15513,1.17589,0.000485566,0.000485566,0.000485566
43,1015.94,0.97903,1.50932,1.37897,0.74019,0.66552,0.73022,0.59796,0.72608,1.14961,1.17182,0.000466163,0.000466163,0.000466163
44,1522.37,0.9815,1.51608,1.38458,0.74569,0.66622,0.73186,0.59908,0.72204,1.14552,1.16861,0.000446819,0.000446819,0.000446819
45,2029.47,0.97356,1.49362,1.37228,0.74335,0.67198,0.73275,0.60192,0.71878,1.14613,1.16685,0.000427565,0.000427565,0.000427565
46,2539.78,0.97258,1.47504,1.37424,0.74648,0.67115,0.73258,0.60161,0.72021,1.14292,1.16836,0.00040843,0.00040843,0.00040843
47,3050.08,0.96568,1.47012,1.37226,0.75506,0.66879,0.73491,0.60244,0.72091,1.13774,1.16829,0.000389445,0.000389445,0.000389445
48,3562.93,0.9706,1.47076,1.37172,0.75856,0.67127,0.73855,0.6054,0.72192,1.13201,1.17014,0.000370637,0.000370637,0.000370637
49,4079.63,0.95488,1.44005,1.35931,0.7595,0.66981,0.73991,0.60652,0.72027,1.12815,1.16848,0.000352037,0.000352037,0.000352037
50,4600.72,0.95997,1.4366,1.364,0.75895,0.67414,0.74094,0.60818,0.71637,1.12388,1.16572,0.000333672,0.000333672,0.000333672
51,5127.53,0.95351,1.4295,1.35986,0.77207,0.66333,0.74234,0.60888,0.71545,1.1215,1.16452,0.000315572,0.000315572,0.000315572
52,5666.5,0.94496,1.40282,1.3545,0.77166,0.66695,0.74274,0.60977,0.71456,1.11894,1.16399,0.000297763,0.000297763,0.000297763
53,6211.58,0.94346,1.40042,1.35565,0.76564,0.66918,0.74298,0.60972,0.71387,1.1155,1.16334,0.000280275,0.000280275,0.000280275
54,6759.57,0.94113,1.39465,1.35097,0.7621,0.67012,0.74327,0.61043,0.71198,1.11244,1.16201,0.000263132,0.000263132,0.000263132
55,7310.66,0.93965,1.37506,1.34798,0.76314,0.67217,0.74422,0.61079,0.71137,1.10999,1.16145,0.000246363,0.000246363,0.000246363
56,7865.52,0.93878,1.37297,1.34819,0.77196,0.6712,0.74527,0.61161,0.70985,1.10755,1.16051,0.000229993,0.000229993,0.000229993
57,8397.75,0.93172,1.35782,1.34509,0.76976,0.67432,0.74569,0.6123,0.70798,1.1062,1.15924,0.000214046,0.000214046,0.000214046
58,8893.89,0.92602,1.36358,1.34037,0.76397,0.67646,0.74621,0.61264,0.70673,1.10446,1.15875,0.000198548,0.000198548,0.000198548
59,9388.53,0.92458,1.3395,1.33954,0.76491,0.6755,0.7458,0.61233,0.70596,1.10263,1.15824,0.000183523,0.000183523,0.000183523
60,9882.5,0.91912,1.33225,1.33356,0.76409,0.67791,0.74603,0.61318,0.70566,1.10062,1.15786,0.000168994,0.000168994,0.000168994
61,10377.9,0.9208,1.33756,1.33813,0.76074,0.68007,0.74744,0.61417,0.70498,1.09846,1.15725,0.000154982,0.000154982,0.000154982
62,10876.1,0.92076,1.3312,1.33552,0.7618,0.68073,0.74755,0.61521,0.70348,1.09691,1.15474,0.00014151,0.00014151,0.00014151
63,11413.9,0.90888,1.31565,1.32674,0.76334,0.67894,0.74829,0.61585,0.7028,1.09513,1.15397,0.000128599,0.000128599,0.000128599
64,12076.7,0.90894,1.30543,1.32802,0.76277,0.68093,0.74889,0.61638,0.70237,1.0934,1.15371,0.000116268,0.000116268,0.000116268
65,12735.7,0.90288,1.29988,1.32239,0.76575,0.67929,0.74879,0.61677,0.70212,1.09201,1.15356,0.000104537,0.000104537,0.000104537
66,13380.2,0.91092,1.29875,1.32923,0.76953,0.67553,0.74949,0.61752,0.70149,1.09026,1.15303,9.34225e-05,9.34225e-05,9.34225e-05
67,14028.5,0.90487,1.2824,1.32526,0.7644,0.67966,0.74979,0.61812,0.7014,1.08913,1.1531,8.29431e-05,8.29431e-05,8.29431e-05
68,14682.1,0.9065,1.28428,1.32354,0.76371,0.68089,0.74993,0.61833,0.70098,1.08829,1.15278,7.31145e-05,7.31145e-05,7.31145e-05
