epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,582.386,1.4017,3.44923,1.71977,0.26322,0.24129,0.14253,0.08007,1.49271,3.32385,1.85309,0.0802074,0.000199925,0.000199925
2,1136.06,1.38197,2.93345,1.69487,0.3024,0.33155,0.2325,0.14298,1.22423,2.67621,1.62345,0.0604074,0.0003999,0.0003999
3,1683.57,1.34438,2.75861,1.67532,0.39306,0.42781,0.33997,0.23138,1.0756,2.19685,1.49435,0.0406073,0.000599778,0.000599778
4,2228,1.3117,2.63102,1.64465,0.39371,0.4509,0.36831,0.24507,1.11796,2.09873,1.50312,0.020807,0.000799485,0.000799485
5,2780.63,1.28399,2.53436,1.62641,0.4738,0.45004,0.39417,0.27351,1.09789,2.01677,1.4667,0.00100646,0.000998948,0.000998948
6,3322.15,1.25178,2.44569,1.60702,0.50055,0.46273,0.45271,0.32855,0.96635,1.91354,1.41113,0.000998474,0.000998474,0.000998474
7,3866.67,1.23188,2.35743,1.58597,0.5074,0.48623,0.47551,0.3379,0.96007,1.78051,1.36958,0.000997803,0.000997803,0.000997803
8,4410.34,1.2042,2.27722,1.56232,0.52464,0.50799,0.50657,0.37827,0.90424,1.71683,1.32343,0.000997011,0.000997011,0.000997011
9,4952.68,1.19733,2.22747,1.55709,0.53287,0.51665,0.50871,0.3795,0.88779,1.70001,1.32296,0.000996097,0.000996097,0.000996097
10,5495.84,1.18107,2.17079,1.54312,0.54742,0.5304,0.53591,0.40201,0.86857,1.64979,1.30472,0.000995062,0.000995062,0.000995062
11,6044.61,1.16307,2.12116,1.52937,0.52502,0.56359,0.55531,0.42103,0.8512,1.5557,1.30612,0.000993906,0.000993906,0.000993906
12,6595.56,1.15699,2.08614,1.52674,0.6086,0.53994,0.56379,0.43255,0.8392,1.56162,1.27209,0.000992629,0.000992629,0.000992629
13,7133.66,1.14783,2.05788,1.51841,0.57772,0.55838,0.5886,0.45605,0.84691,1.49082,1.28734,0.000991232,0.000991232,0.000991232
14,7672.44,1.1324,2.00907,1.50451,0.58339,0.57811,0.59538,0.46063,0.82404,1.47367,1.26404,0.000989715,0.000989715,0.000989715
15,8211.47,1.13115,1.98959,1.50293,0.62887,0.56797,0.59109,0.45069,0.84136,1.50362,1.27198,0.000988079,0.000988079,0.000988079
16,8749.87,1.11556,1.94806,1.49429,0.62337,0.588,0.62691,0.48992,0.80492,1.41556,1.24322,0.000986323,0.000986323,0.000986323
17,9300.23,1.11547,1.94371,1.48808,0.61889,0.57801,0.61783,0.48407,0.80028,1.42878,1.2347,0.000984449,0.000984449,0.000984449
18,9844.13,1.10072,1.90279,1.48021,0.63567,0.6037,0.6417,0.50191,0.81571,1.34526,1.25591,0.000982456,0.000982456,0.000982456
19,10396.6,1.09198,1.87337,1.47082,0.65661,0.60858,0.64655,0.51803,0.75242,1.32941,1.21077,0.000980345,0.000980345,0.000980345
20,10934.2,1.09574,1.8651,1.4759,0.65694,0.62151,0.65907,0.52082,0.79407,1.30605,1.23203,0.000978118,0.000978118,0.000978118
21,11476.4,1.08996,1.84537,1.4703,0.69333,0.61752,0.67253,0.529,0.79977,1.30502,1.24454,0.000975773,0.000975773,0.000975773
22,12012.8,1.07835,1.83185,1.46047,0.66706,0.62637,0.66839,0.53567,0.77371,1.28702,1.22076,0.000973312,0.000973312,0.000973312
23,12570,1.07611,1.79914,1.45673,0.69416,0.61301,0.67557,0.53979,0.78366,1.25128,1.22496,0.000970736,0.000970736,0.000970736
24,13110.5,1.06687,1.77896,1.44764,0.70936,0.62934,0.68411,0.54866,0.7863,1.23118,1.22322,0.000968045,0.000968045,0.000968045
25,13681.6,1.06885,1.76708,1.45212,0.71446,0.61824,0.6864,0.54952,0.76316,1.23591,1.21234,0.000965239,0.000965239,0.000965239
26,14254.4,1.06028,1.73342,1.44333,0.69214,0.63312,0.68816,0.55377,0.75459,1.22472,1.20167,0.00096232,0.00096232,0.00096232
27,14833.3,1.06255,1.73111,1.44335,0.72305,0.63182,0.70046,0.56646,0.74212,1.19997,1.19844,0.000959289,0.000959289,0.000959289
28,15413.5,1.04958,1.71463,1.43467,0.6985,0.65751,0.70695,0.57029,0.7298,1.19611,1.18666,0.000956145,0.000956145,0.000956145
29,15987.3,1.04707,1.68594,1.43018,0.72062,0.65247,0.71312,0.57774,0.7282,1.17274,1.18382,0.000952889,0.000952889,0.000952889
